wait,eff,se,cash,origin,row_count,respondent_count
6.0,0.7,3.0,50.0,1,242,242
3.0,0.7,1.0,200.0,0,242,242
0.0,0.5,2.0,50.0,0,242,242
3.0,0.7,3.0,200.0,1,242,242
1.0,0.95,1.0,800.0,1,242,242
0.0,0.95,3.0,800.0,1,242,242
3.0,0.7,3.0,200.0,0,242,242
1.0,0.5,1.0,50.0,0,242,242
6.0,0.95,1.0,200.0,0,242,242
6.0,0.95,2.0,800.0,1,242,242
1.0,0.5,2.0,50.0,1,242,242
0.0,0.5,2.0,200.0,1,250,250
3.0,0.95,2.0,50.0,0,250,250
3.0,0.7,3.0,50.0,0,250,250
6.0,0.5,1.0,800.0,1,250,250
1.0,0.7,3.0,50.0,0,250,250
1.0,0.95,2.0,200.0,0,250,250
0.0,0.5,1.0,800.0,1,250,250
6.0,0.95,2.0,200.0,1,250,250
6.0,0.7,3.0,50.0,0,250,250
3.0,0.95,1.0,800.0,0,250,250
0.0,0.7,3.0,200.0,1,250,250
1.0,0.5,1.0,800.0,1,250,250
0.0,0.5,2.0,800.0,0,241,241
1.0,0.5,2.0,800.0,1,222,222
0.0,0.7,1.0,50.0,0,222,222
3.0,0.5,3.0,800.0,1,222,222
6.0,0.7,1.0,200.0,0,222,222
1.0,0.95,3.0,200.0,0,222,222
1.0,0.7,1.0,50.0,1,222,222
3.0,0.95,3.0,800.0,1,222,222
0.0,0.95,2.0,50.0,0,222,222
0.0,0.5,3.0,50.0,0,222,222
3.0,0.7,2.0,200.0,1,222,222
6.0,0.95,1.0,800.0,1,222,222
6.0,0.5,2.0,200.0,0,222,222
1.0,0.95,3.0,200.0,1,80,80
6.0,0.7,2.0,800.0,0,80,80
3.0,0.7,1.0,800.0,0,80,80
0.0,0.5,1.0,200.0,1,80,80
0.0,0.5,3.0,800.0,1,80,80
6.0,0.7,1.0,200.0,1,80,80
1.0,0.95,1.0,200.0,0,80,80
3.0,0.5,3.0,200.0,0,80,80
3.0,0.7,2.0,50.0,0,80,80
3.0,0.7,2.0,50.0,1,80,80
6.0,0.5,3.0,50.0,0,80,80
0.0,0.95,3.0,200.0,1,80,80
6.0,0.95,2.0,50.0,0,95,95
1.0,0.5,2.0,200.0,0,95,95
6.0,0.7,1.0,50.0,0,95,95
0.0,0.95,2.0,50.0,1,95,95
1.0,0.5,2.0,50.0,0,95,95
0.0,0.5,3.0,50.0,1,95,95
1.0,0.5,1.0,50.0,1,95,95
0.0,0.95,1.0,800.0,0,95,95
0.0,0.95,2.0,800.0,0,95,95
0.0,0.7,1.0,800.0,0,95,95
1.0,0.7,2.0,800.0,1,95,95
6.0,0.7,1.0,800.0,1,95,95
3.0,0.95,3.0,200.0,1,83,83
3.0,0.5,2.0,200.0,1,83,83
3.0,0.5,3.0,200.0,1,83,83
6.0,0.7,2.0,200.0,0,83,83
3.0,0.5,3.0,50.0,0,83,83
6.0,0.95,3.0,200.0,1,83,83
1.0,0.95,2.0,800.0,1,83,83
3.0,0.5,1.0,200.0,0,83,83
3.0,0.7,1.0,800.0,1,83,83
3.0,0.5,1.0,800.0,0,83,83
6.0,0.7,1.0,50.0,1,83,83
6.0,0.7,2.0,50.0,0,83,83
1.0,0.7,3.0,200.0,0,55,55
1.0,0.95,3.0,800.0,0,55,55
0.0,0.95,3.0,50.0,0,55,55
1.0,0.95,3.0,50.0,1,55,55
6.0,0.95,1.0,50.0,1,55,55
1.0,0.7,3.0,800.0,0,55,55
0.0,0.5,2.0,800.0,1,55,55
1.0,0.7,2.0,200.0,1,55,55
0.0,0.5,3.0,200.0,1,55,55
1.0,0.95,1.0,800.0,0,55,55
0.0,0.95,3.0,50.0,1,55,55
0.0,0.95,3.0,800.0,0,55,55
