task_sig_hash,A_wait,A_eff,A_se,A_cash,A_origin,B_wait,B_eff,B_se,B_cash,B_origin,frequency
95889,0.0,0.5,2.0,200.0,1,3.0,0.95,2.0,50.0,0,250
38304,3.0,0.7,3.0,50.0,0,6.0,0.5,1.0,800.0,1,250
80636,1.0,0.7,3.0,50.0,0,1.0,0.95,2.0,200.0,0,250
95040,0.0,0.5,1.0,800.0,1,6.0,0.95,2.0,200.0,1,250
47024,6.0,0.7,3.0,50.0,0,3.0,0.95,1.0,800.0,0,250
90938,0.0,0.7,3.0,200.0,1,1.0,0.5,1.0,800.0,1,250
73428,3.0,0.7,1.0,200.0,0,0.0,0.5,2.0,50.0,0,242
43177,3.0,0.7,3.0,200.0,1,1.0,0.95,1.0,800.0,1,242
19089,0.0,0.95,3.0,800.0,1,3.0,0.7,3.0,200.0,0,242
57507,1.0,0.5,1.0,50.0,0,6.0,0.95,1.0,200.0,0,242
66715,6.0,0.95,2.0,800.0,1,1.0,0.5,2.0,50.0,1,242
44647,0.0,0.5,2.0,800.0,0,6.0,0.7,3.0,50.0,1,241
86061,1.0,0.5,2.0,800.0,1,0.0,0.7,1.0,50.0,0,222
35589,3.0,0.5,3.0,800.0,1,6.0,0.7,1.0,200.0,0,222
84521,1.0,0.95,3.0,200.0,0,1.0,0.7,1.0,50.0,1,222
33094,3.0,0.95,3.0,800.0,1,0.0,0.95,2.0,50.0,0,222
92073,0.0,0.5,3.0,50.0,0,3.0,0.7,2.0,200.0,1,222
87201,6.0,0.95,1.0,800.0,1,6.0,0.5,2.0,200.0,0,222
23602,6.0,0.95,2.0,50.0,0,1.0,0.5,2.0,200.0,0,95
64424,6.0,0.7,1.0,50.0,0,0.0,0.95,2.0,50.0,1,95
75245,1.0,0.5,2.0,50.0,0,0.0,0.5,3.0,50.0,1,95
7396,1.0,0.5,1.0,50.0,1,0.0,0.95,1.0,800.0,0,95
77938,0.0,0.95,2.0,800.0,0,0.0,0.7,1.0,800.0,0,95
59054,1.0,0.7,2.0,800.0,1,6.0,0.7,1.0,800.0,1,95
59394,3.0,0.95,3.0,200.0,1,3.0,0.5,2.0,200.0,1,83
88953,3.0,0.5,3.0,200.0,1,6.0,0.7,2.0,200.0,0,83
87751,3.0,0.5,3.0,50.0,0,6.0,0.95,3.0,200.0,1,83
55335,1.0,0.95,2.0,800.0,1,3.0,0.5,1.0,200.0,0,83
64225,3.0,0.7,1.0,800.0,1,3.0,0.5,1.0,800.0,0,83
527,6.0,0.7,1.0,50.0,1,6.0,0.7,2.0,50.0,0,83
60666,1.0,0.95,3.0,200.0,1,6.0,0.7,2.0,800.0,0,80
33358,3.0,0.7,1.0,800.0,0,0.0,0.5,1.0,200.0,1,80
5793,0.0,0.5,3.0,800.0,1,6.0,0.7,1.0,200.0,1,80
28808,1.0,0.95,1.0,200.0,0,3.0,0.5,3.0,200.0,0,80
53926,3.0,0.7,2.0,50.0,0,3.0,0.7,2.0,50.0,1,80
57774,6.0,0.5,3.0,50.0,0,0.0,0.95,3.0,200.0,1,80
71276,1.0,0.7,3.0,200.0,0,1.0,0.95,3.0,800.0,0,55
81892,0.0,0.95,3.0,50.0,0,1.0,0.95,3.0,50.0,1,55
87650,6.0,0.95,1.0,50.0,1,1.0,0.7,3.0,800.0,0,55
80970,0.0,0.5,2.0,800.0,1,1.0,0.7,2.0,200.0,1,55
5427,0.0,0.5,3.0,200.0,1,1.0,0.95,1.0,800.0,0,55
97622,0.0,0.95,3.0,50.0,1,0.0,0.95,3.0,800.0,0,55
