profile_id,repetition,parsed_probability,parsed_yes_no,raw_response
1,1,0.7,Yes,"No
0.7"
1,2,0.7,Yes,"No
0.7"
1,3,0.7,Yes,"No
0.7"
1,4,0.7,Yes,"No
0.7"
1,5,0.7,Yes,"No

0.7"
1,6,0.7,Yes,"No
0.7"
1,7,0.6,Yes,"No
0.6"
1,8,0.7,Yes,"No
0.7"
1,9,0.7,Yes,"No
0.7"
1,10,0.7,Yes,"No
0.7"
2,1,0.7,Yes,"No
0.7"
2,2,0.7,Yes,"No
0.7"
2,3,0.7,Yes,"No
0.7"
2,4,0.7,Yes,"No
0.7"
2,5,0.7,Yes,"No
0.7"
2,6,0.7,Yes,"No
0.7"
2,7,0.7,Yes,"No

0.7"
2,8,0.7,Yes,"No

0.7"
2,9,0.7,Yes,"No
0.7"
2,10,0.7,Yes,"No
0.7"
3,1,0.7,Yes,"No
0.7"
3,2,0.7,Yes,"No
0.7"
3,3,0.7,Yes,"No

0.7"
3,4,0.7,Yes,"No
0.7"
3,5,0.7,Yes,"No
0.7"
3,6,0.7,Yes,"No

0.7"
3,7,0.7,Yes,"No
0.7"
3,8,0.7,Yes,"No
0.7"
3,9,0.7,Yes,"No

0.7"
3,10,0.7,Yes,"No
0.7"
4,1,0.7,Yes,"No
0.7"
4,2,0.7,Yes,"No
0.7"
4,3,0.7,Yes,"No
0.7"
4,4,0.7,Yes,"No
0.7"
4,5,0.7,Yes,"No

0.7"
4,6,0.7,Yes,"No

0.7"
4,7,0.7,Yes,"No
0.7"
4,8,0.7,Yes,"No

0.7"
4,9,0.7,Yes,"No
0.7"
4,10,0.7,Yes,"No
0.7"
5,1,0.5,No,"No

0.5"
5,2,0.5,No,"No
0.5"
5,3,0.5,No,"No
0.5"
5,4,0.6,Yes,"No  
0.6"
5,5,0.5,No,"No
0.5"
5,6,0.5,No,"No
0.5"
5,7,0.5,No,"No
0.5"
5,8,0.5,No,"No

0.5"
5,9,0.5,No,"No
0.5"
5,10,0.5,No,"No
0.5"
6,1,0.5,No,"No
0.5"
6,2,0.5,No,"No
0.5"
6,3,0.5,No,"No
0.5"
6,4,0.5,No,"No
0.5"
6,5,0.5,No,"No
0.5"
6,6,0.5,No,"No
0.5"
6,7,0.5,No,"No
0.5"
6,8,0.5,No,"No
0.5"
6,9,0.5,No,"No
0.5"
6,10,0.5,No,"No
0.5"
7,1,0.4,No,"No
0.4"
7,2,0.4,No,"No
0.4"
7,3,0.5,No,"No
0.5"
7,4,0.5,No,"No
0.5"
7,5,0.6,Yes,"No
0.6"
7,6,0.5,No,"No
0.5"
7,7,0.6,Yes,"No

0.6"
7,8,0.6,Yes,"No

0.6"
7,9,0.5,No,"No
0.5"
7,10,0.4,No,"No
0.4"
8,1,0.95,Yes,"Yes
0.95"
8,2,0.95,Yes,"No
0.95"
8,3,0.5,No,"No

Probability: 0.5"
8,4,0.95,Yes,"Yes
0.95"
8,5,0.95,Yes,"Yes
0.95"
8,6,0.95,Yes,"No
0.95"
8,7,0.95,Yes,"No
0.95"
8,8,0.95,Yes,"No
0.95"
8,9,0.95,Yes,"No
0.95"
8,10,0.95,Yes,"No

0.95"
9,1,0.95,Yes,"No
0.95"
9,2,0.95,Yes,"No

0.95"
9,3,0.75,Yes,"No

Probability: 0.75"
9,4,0.95,Yes,"No
0.95"
9,5,0.95,Yes,"No
0.95"
9,6,0.95,Yes,"No
0.95"
9,7,0.95,Yes,"No

0.95"
9,8,0.95,Yes,"No
0.95"
9,9,0.95,Yes,"No
0.95"
9,10,0.95,Yes,"No
0.95"
10,1,0.95,Yes,"No
0.95"
10,2,0.95,Yes,"Yes
0.95"
10,3,0.95,Yes,"No
0.95"
10,4,0.95,Yes,"No
0.95"
10,5,0.95,Yes,"Yes
0.95"
10,6,0.75,Yes,"No

0.75"
10,7,0.95,Yes,"Yes
0.95"
10,8,0.95,Yes,"Yes
0.95"
10,9,0.95,Yes,"Yes
0.95"
10,10,0.95,Yes,"No
0.95"
11,1,0.95,Yes,"Yes
0.95"
11,2,0.95,Yes,"Yes
0.95"
11,3,0.95,Yes,"Yes
0.95"
11,4,0.95,Yes,"Yes
0.95"
11,5,0.95,Yes,"Yes
0.95"
11,6,0.95,Yes,"Yes
0.95"
11,7,0.95,Yes,"Yes
0.95"
11,8,0.95,Yes,"Yes
0.95"
11,9,0.95,Yes,"Yes
0.95"
11,10,0.95,Yes,"Yes
0.95"
12,1,0.7,Yes,"No
0.7"
12,2,0.7,Yes,"No

0.7"
12,3,0.7,Yes,"No

0.7"
12,4,0.7,Yes,"No
0.7"
12,5,0.7,Yes,"No
0.7"
12,6,0.7,Yes,"No
0.7"
12,7,0.7,Yes,"No

0.7"
12,8,0.6,Yes,"No  
0.6"
12,9,0.7,Yes,"No

0.7"
12,10,0.3,No,"No

Probability: 0.3"
