task_num,block_id,repetition,P_A,P_B,P_C,choice,prob_sum
1,1,1,0.2,0.7,0.1,,1.0
1,1,2,0.4,0.5,0.1,,1.0
1,1,3,0.4,0.5,0.1,,1.0
1,1,4,0.35,0.45,0.2,,1.0
1,1,5,0.3,0.6,0.1,,1.0
1,1,6,0.45,0.35,0.2,,1.0
1,1,7,0.3,0.5,0.2,,1.0
1,1,8,0.4,0.5,0.1,,1.0
1,1,9,0.3,0.5,0.2,,1.0
1,1,10,0.3,0.5,0.2,,1.0
2,1,1,0.5,0.3,0.2,,1.0
2,1,2,0.4,0.3,0.3,,1.0
2,1,3,0.5,0.3,0.2,,1.0
2,1,4,0.4,0.3,0.3,,1.0
2,1,5,0.4,0.35,0.25,,1.0
2,1,6,0.5,0.3,0.2,,1.0
2,1,7,0.6,0.3,0.1,,1.0
2,1,8,0.5,0.3,0.2,,1.0
2,1,9,0.4,0.35,0.25,,1.0
2,1,10,0.38616714697406346,0.3112391930835735,0.30259365994236315,,1.735
3,1,1,0.1,0.8,0.1,,1.0
3,1,2,0.1,0.8,0.1,,1.0
3,1,3,0.15,0.7,0.15,,1.0
3,1,4,0.2,0.7,0.1,,1.0
3,1,5,0.15,0.7,0.15,,1.0
3,1,6,0.1,0.8,0.1,,1.0
3,1,7,0.2,0.7,0.1,,1.0
3,1,8,0.2,0.7,0.1,,1.0
3,1,9,0.2,0.7,0.1,,1.0
3,1,10,0.2,0.75,0.05,,1.0
4,1,1,0.4,0.5,0.1,,1.0
4,1,2,0.4,0.35,0.25,,1.0
4,1,3,0.4,0.5,0.1,,1.0
4,1,4,0.4,0.3,0.3,,1.0
4,1,5,0.4,0.35,0.25,,1.0
4,1,6,0.6,0.3,0.1,,1.0
4,1,7,0.4210526315789474,0.3684210526315789,0.2105263157894737,,0.95
4,1,8,0.45,0.35,0.2,,1.0
4,1,9,0.4,0.35,0.25,,1.0
4,1,10,0.45,0.35,0.2,,1.0
5,1,1,0.15,0.7,0.15,,1.0
5,1,2,0.1,0.8,0.1,,1.0
5,1,3,0.1,0.8,0.1,,1.0
5,1,4,0.2,0.7,0.1,,1.0
5,1,5,0.2,0.7,0.1,,1.0
5,1,6,0.1,0.8,0.1,,1.0
5,1,7,0.1,0.8,0.1,,1.0
5,1,8,0.2,0.7,0.1,,1.0
5,1,9,0.1,0.8,0.1,,1.0
5,1,10,0.1,0.8,0.1,,1.0
6,1,1,0.4,0.3,0.3,,1.0
6,1,2,0.4,0.35,0.25,,1.0
6,1,3,0.5,0.3,0.2,,1.0
6,1,4,0.6,0.3,0.1,,1.0
6,1,5,0.4,0.3,0.3,,1.0
6,1,6,0.4,0.3,0.3,,1.0
6,1,7,0.5,0.3,0.2,,1.0
6,1,8,0.6,0.2,0.2,,1.0
6,1,9,0.6,0.3,0.1,,1.0
6,1,10,0.4,0.3,0.3,,1.0
7,2,1,0.6,0.2,0.2,,1.0
7,2,2,0.995,0.004,0.001,,1.0
7,2,3,0.6,0.3,0.1,,1.0
7,2,4,0.6,0.2,0.2,,1.0
7,2,5,0.6,0.3,0.1,,1.0
