task_num,repetition,P_A,P_B,P_C,choice
1,1,0.4,0.35,0.25,
1,2,0.4,0.35,0.25,
1,3,0.45,0.35,0.2,
1,4,0.4,0.35,0.25,
1,5,0.4,0.35,0.25,
1,6,0.4,0.35,0.25,
1,7,0.45,0.35,0.2,
1,8,0.4,0.3,0.3,
1,9,0.4,0.35,0.25,
1,10,0.4,0.3,0.3,
2,1,0.4,0.3,0.3,
2,2,0.4,0.35,0.25,
2,3,0.4,0.35,0.25,
2,4,0.4,0.3,0.3,
2,5,0.4,0.3,0.3,
2,6,0.4,0.3,0.3,
2,7,0.45,0.35,0.2,
2,8,0.45,0.35,0.2,
2,9,0.4,0.35,0.25,
2,10,0.4,0.35,0.25,
3,1,0.2,0.7,0.1,
3,2,0.2,0.7,0.1,
3,3,0.2,0.7,0.1,
3,4,0.25,0.65,0.1,
3,5,0.2,0.7,0.1,
3,6,0.2,0.7,0.1,
3,7,0.25,0.6,0.15,
3,8,0.2,0.7,0.1,
3,9,0.3,0.6,0.1,
3,10,0.15,0.7,0.15,
4,1,0.5,0.3,0.2,
4,2,0.5,0.3,0.2,
4,3,0.45,0.35,0.2,
4,4,0.6,0.3,0.1,
4,5,0.6,0.3,0.1,
4,6,0.6,0.3,0.1,
4,7,0.5,0.3,0.2,
4,8,0.5,0.3,0.2,
4,9,0.6,0.3,0.1,
4,10,0.6,0.25,0.15,
5,1,0.3,0.5,0.2,
5,2,0.35,0.45,0.2,
5,3,0.3,0.6,0.1,
5,4,0.3,0.5,0.2,
5,5,0.3,0.5,0.2,
5,6,0.3,0.5,0.2,
5,7,0.3,0.6,0.1,
5,8,0.3,0.5,0.2,
5,9,0.35,0.45,0.2,
5,10,0.3,0.5,0.2,
6,1,0.45,0.35,0.2,
6,2,0.4,0.35,0.25,
6,3,0.45,0.35,0.2,
6,4,0.45,0.35,0.2,
6,5,0.45,0.35,0.2,
6,6,0.45,0.35,0.2,
6,7,0.45,0.35,0.2,
6,8,0.4,0.35,0.25,
6,9,0.45,0.35,0.2,
6,10,0.45,0.35,0.2,
