task_num,rep,P_A,P_B,P_C,raw_response
1,1,0.6,0.2,0.2,"Choice: A
P(A): 0.6
P(B): 0.2
P(C): 0.2"
1,2,0.5,0.3,0.2,"Choice: A
P(A): 0.5
P(B): 0.3
P(C): 0.2"
1,3,0.6,0.2,0.2,"Choice: A
P(A): 0.6
P(B): 0.2
P(C): 0.2"
1,4,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
1,5,0.6,0.2,0.2,"Choice: A
P(A): 0.6
P(B): 0.2
P(C): 0.2"
1,6,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
1,7,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
1,8,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
1,9,0.5,0.3,0.2,"Choice: A
P(A): 0.5
P(B): 0.3
P(C): 0.2"
1,10,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,1,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,2,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,3,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,4,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,5,0.5,0.3,0.2,"Choice: A
P(A): 0.5
P(B): 0.3
P(C): 0.2"
2,6,0.5,0.3,0.2,"Choice: A
P(A): 0.5
P(B): 0.3
P(C): 0.2"
2,7,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,8,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,9,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
2,10,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
3,1,0.1,0.8,0.1,"Choice: B
P(A): 0.1
P(B): 0.8
P(C): 0.1"
3,2,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
3,3,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
3,4,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
3,5,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
3,6,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
3,7,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
3,8,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
3,9,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
3,10,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
4,1,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
4,2,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
