task_num,rep,P_A,P_B,P_C,parse_status
1,1,0.5,0.30000000000000004,0.2,SUCCESS
1,2,0.45,0.35000000000000003,0.2,SUCCESS
1,3,0.35000000000000003,0.4,0.25,SUCCESS
1,4,0.5,0.30000000000000004,0.2,SUCCESS
1,5,0.5,0.30000000000000004,0.2,SUCCESS
1,6,0.5,0.30000000000000004,0.2,SUCCESS
1,7,0.5,0.30000000000000004,0.2,SUCCESS
1,8,0.5,0.25,0.25,SUCCESS
1,9,0.5,0.30000000000000004,0.2,SUCCESS
1,10,0.5,0.30000000000000004,0.2,SUCCESS
2,1,0.5,0.30000000000000004,0.2,SUCCESS
2,2,0.45,0.35000000000000003,0.2,SUCCESS
2,3,0.45,0.35000000000000003,0.2,SUCCESS
2,4,0.5,0.4,0.1,SUCCESS
2,5,0.5,0.30000000000000004,0.2,SUCCESS
2,6,0.5,0.25,0.25,SUCCESS
2,7,0.5,0.4,0.1,SUCCESS
2,8,0.5,0.4,0.1,SUCCESS
2,9,0.5,0.4,0.1,SUCCESS
2,10,0.6000000000000001,0.2,0.2,SUCCESS
3,1,0.1,0.6000000000000001,0.30000000000000004,SUCCESS
3,2,0.2,0.6000000000000001,0.2,SUCCESS
3,3,0.2,0.6000000000000001,0.2,SUCCESS
3,4,0.2,0.6000000000000001,0.2,SUCCESS
3,5,0.2,0.6000000000000001,0.2,SUCCESS
3,6,0.2,0.7000000000000001,0.1,SUCCESS
3,7,0.2,0.7000000000000001,0.1,SUCCESS
3,8,0.2,0.6000000000000001,0.2,SUCCESS
3,9,0.30000000000000004,0.5,0.2,SUCCESS
3,10,0.2,0.6000000000000001,0.2,SUCCESS
4,1,0.6000000000000001,0.25,0.15,SUCCESS
4,2,0.6000000000000001,0.2,0.2,SUCCESS
4,3,0.6000000000000001,0.25,0.15,SUCCESS
4,4,0.65,0.25,0.1,SUCCESS
4,5,0.7000000000000001,0.2,0.1,SUCCESS
4,6,0.6000000000000001,0.25,0.15,SUCCESS
4,7,0.6000000000000001,0.30000000000000004,0.1,SUCCESS
4,8,0.7000000000000001,0.2,0.1,SUCCESS
4,9,0.6000000000000001,0.2,0.2,SUCCESS
4,10,0.6000000000000001,0.2,0.2,SUCCESS
5,1,0.30000000000000004,0.4,0.30000000000000004,SUCCESS
5,2,0.35000000000000003,0.4,0.25,SUCCESS
5,3,0.35000000000000003,0.45,0.2,SUCCESS
5,4,0.35000000000000003,0.4,0.25,SUCCESS
5,5,0.30000000000000004,0.4,0.30000000000000004,SUCCESS
5,6,0.35000000000000003,0.45,0.2,SUCCESS
5,7,0.30000000000000004,0.4,0.30000000000000004,SUCCESS
5,8,0.35000000000000003,0.4,0.25,SUCCESS
5,9,0.35000000000000003,0.4,0.25,SUCCESS
5,10,0.35000000000000003,0.4,0.25,SUCCESS
6,1,0.6000000000000001,0.2,0.2,SUCCESS
6,2,0.5,0.30000000000000004,0.2,SUCCESS
6,3,0.5,0.30000000000000004,0.2,SUCCESS
6,4,0.6000000000000001,0.2,0.2,SUCCESS
6,5,0.6000000000000001,0.25,0.15,SUCCESS
6,6,0.6000000000000001,0.2,0.2,SUCCESS
6,7,0.5,0.4,0.1,SUCCESS
6,8,0.6000000000000001,0.30000000000000004,0.1,SUCCESS
6,9,0.6000000000000001,0.30000000000000004,0.1,SUCCESS
6,10,0.6000000000000001,0.25,0.15,SUCCESS
